"Heaving frequency in [Hz],  from motor excitations",Wind speed [m/s],0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.0395,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.6215,0.644,0.1245,0.8715,0.6225,0.751
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.02,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.6205,0.646,0.1245,0.8715,0.6225,0.751
1.0,20,0.9825,0.0315,0.9855,0.058,0.9805,0.927,0.0265,0.829,0.926,0.927,0.0,0.146,0.9505,0.802,0.2475,0.1975,0.099,0.0,0.8305,0.2715,0.7255,0.817,0.454,1.0,0.2865,0.07,0.2875,0.3655,0.3435,0.634,0.6265,0.118,0.3735,0.3735,0.6215,0.8755,0.1245,0.8715,0.446,0.7515
1.0,20,0.981,0.0315,0.9855,0.058,0.9805,0.9235,0.0265,0.846,0.927,0.927,0.0,0.146,0.951,0.802,0.2475,0.1975,0.099,0.0,0.8535,0.273,0.7255,0.817,0.443,1.0,0.2435,0.0675,0.285,0.363,0.329,0.634,0.6265,0.053,0.3735,0.3735,0.6215,0.8755,0.1245,0.8715,0.4025,0.7575
1.0,20,0.9815,0.0315,0.9855,0.058,0.9805,0.926,0.0265,0.837,0.9265,0.927,0.0,0.146,0.9505,0.802,0.2475,0.198,0.099,0.0,0.8535,0.2715,0.7255,0.817,0.453,1.0,0.2825,0.0725,0.262,0.363,0.3185,0.634,0.6265,0.1175,0.3735,0.3735,0.6225,0.8755,0.1245,0.8715,0.3975,0.7565
1.0,20,0.985,0.0315,0.9855,0.058,0.9805,0.929,0.0265,0.8475,0.926,0.927,0.0,0.146,0.9515,0.802,0.2475,0.198,0.099,0.0,0.835,0.2735,0.7255,0.817,0.4345,1.0,0.261,0.07,0.28,0.3635,0.324,0.634,0.6265,0.0285,0.3735,0.3735,0.6215,0.8755,0.1245,0.8715,0.398,0.762
1.0,20,0.981,0.0315,0.9855,0.058,0.9805,0.9325,0.0265,0.846,0.927,0.927,0.0,0.146,0.9825,0.802,0.247,0.198,0.099,0.0,0.8575,0.2725,0.7255,0.817,0.4405,1.0,0.2415,0.0845,0.2785,0.36,0.3005,0.634,0.6265,0.085,0.3735,0.3735,0.6215,0.8755,0.1245,0.8715,0.3485,0.775
1.0,20,0.9845,0.0315,0.9855,0.058,0.9805,0.9325,0.0265,0.8735,0.9255,0.927,0.0,0.146,0.9935,0.802,0.2475,0.1975,0.099,0.0,0.8555,0.274,0.7255,0.817,0.4335,1.0,0.218,0.074,0.233,0.363,0.286,0.634,0.6265,0.0165,0.373,0.3735,0.622,0.8755,0.1245,0.8715,0.2915,0.807
1.0,20,0.982,0.0315,0.9855,0.058,0.9805,0.934,0.0265,0.8625,0.926,0.927,0.0,0.146,0.971,0.802,0.2475,0.198,0.099,0.0,0.857,0.273,0.7255,0.817,0.4325,1.0,0.253,0.056,0.2355,0.364,0.304,0.634,0.6265,0.024,0.3735,0.3735,0.622,0.8755,0.1245,0.8715,0.3165,0.772
1.0,20,0.9845,0.0315,0.9855,0.058,0.9805,0.94,0.0265,0.8655,0.926,0.927,0.0,0.146,0.985,0.802,0.2475,0.1975,0.099,0.0,0.855,0.2735,0.7255,0.817,0.4175,1.0,0.2505,0.0635,0.211,0.3585,0.288,0.634,0.6265,0.031,0.373,0.3735,0.62,0.8755,0.1245,0.8715,0.305,0.802
